Term	TermType	en	de	es	fr	it	ja-JP	ko	pl	pt-BR	ru	zh-Hans	zh-Hant
Achievements/BOSS_FIGHT_SPECIAL_WORLD_2_DESC	Achievements	On Heroic difficulty, make the Steelrail Overlord cross between carts 9 times.	Lasse auf Schwierigkeitsgrad Heroisch das Stahlbahn-Oberhaupt 9-mal zwischen Wagen springen.	En dificultad Heroica, haz que el Caudillo del Ferrocarril cruce 9 veces entre los vagones.	En difficulté Héroïque, faites en sorte que le Suzerain de métal traverse entre les wagonnets 9 fois.	Fai passare il Signore delle rotaie tra i carrelli 9 volte in difficoltà Eroica.	難易度ヒロイックのレールオーバーロード戦で、ボスを往復させ、車両間を9回移動させる。	영웅 난이도에서 강철궤도 군주가 광차 사이를 9번 통과하게 하세요.	Na poziomie trudności Heroicznym spraw, by Władca Stalowej Kolei 9 razy przejechał między wagonikami.	Na dificuldade Heroica, faça o Soberano dos Trilhos atravessar entre os vagões 9 vezes.	На уровне сложности «Героический» заставьте Стального владыку путей пройти между вагонетками 9 раз.	在英雄难度与列车长的战斗中，让列车长跨越车厢9次	在英雄難度與列車長的戰鬥中，讓列車長跨越車廂9次
Achievements/BOSS_FIGHT_SPECIAL_WORLD_3	Achievements	Pattern Obsession	Mustergültig	Obsesión por el patrón	Obsession des motifs	Ossessione per gli schemi	こだわり	패턴 집착	Obsesja na punkcie wzorów	Obcecado por Padrões	Тяга к симметрии	强迫症	強迫症
Achievements/BOSS_FIGHT_SPECIAL_WORLD_3_DESC	Achievements	On Heroic difficulty, in the battle against the Skeleton King, place all blocks only on tiles of the same color and complete the trial.	Stelle auf Schwierigkeitsgrad Heroisch beim Kampf gegen den Skelettkönig Blöcke nur auf Felder derselben Farbe und schließe die Prüfung ab.	En dificultad Heroica, coloca todos los bloques solamente sobre casillas del mismo color y supera la prueba en la batalla contra el Rey Esqueleto.	En difficulté Héroïque, dans le combat contre le Roi squelette, placez tous les blocs seulement sur des cases de la même couleur et terminez l'épreuve.	Nella battaglia contro il Re Scheletro, posiziona tutti i blocchi solo su caselle dello stesso colore e completa la prova in difficoltà Eroica.	難易度ヒロイックのキングスケルトン戦で、全てのブロックを同じ色のタイルにのみ設置して試練をクリアする。	영웅 난이도에서 해골왕을 상대로 한 전투 중 같은 색상의 타일에만 모든 블록을 배치하고 시련을 완료하세요.	Na poziomie trudności Heroicznym, podczas walki z Królem Szkieletów, umieść wszystkie klocki wyłącznie na kafelkach tego samego koloru i ukończ próbę.	Na dificuldade Heroica, durante a batalha contra o Rei Esqueleto, coloque todos os blocos apenas sobre pisos da mesma cor e conclua a prova.	На уровне сложности «Героический» в битве с Королем скелетов выкладывайте все блоки строго на клетки того же цвета и завершите испытание.	在英雄难度与骷髅王的战斗中，所有方块都只放在相同颜色的地板上，并通过试炼	在英雄難度與骷髏王的戰鬥中，所有方塊都只放在相同顏色的地板上，並通過試煉
Achievements/BOSS_FIGHT_SPECIAL_WORLD_4	Achievements	All Your Base Belong To Me	All your base are belong to me	Creador y señor del universo	All Your Base...	Tutte le tue basi a me	おまえの遺跡はおれのもの	네 기지는 전부 내 차지다	All Your Base Are Belong To Me	Sua Base É Minha	Все ваши базы принадлежат нам	完封	完封
Achievements/BOSS_FIGHT_SPECIAL_WORLD_4_DESC	Achievements	On Heroic difficulty, defeat the Grand Artificer without activating any Weather Simulators and without letting any Ancient Towers activate.	Besiege auf Schwierigkeitsgrad Heroisch den Großen Schöpfer ohne Aktivierung von Wettersimulatoren oder uralten Türmen.	En dificultad Heroica, derrota al Gran Artífice sin activar ningún simulador de clima y sin dejar que se active ninguna torre ancestral.	En difficulté Héroïque, battez le Grand artificier sans activer aucun Simulateur météo et sans laisser aucune Tour antique s'activer.	Sconfiggi il Gran Artificiere senza attivare alcun simulatore meteorologico e senza che nessuna Torre antica si attivi in modalità Eroica.	難易度ヒロイックの大創造主戦で、天候シミュレーターおよび古代の防衛タワーを一つも起動する・させることなくボスを撃破する。	영웅 난이도에서 날씨 시뮬레이터를 활성화하지 않고, 고대 타워를 하나도 활성화하지 않은 상태로 위대한 장인을 물리치세요.	Na poziomie trudności Heroicznym pokonaj Wielkiego Rzemieślnika bez aktywowania żadnych symulatorów pogody i nie pozwalając na aktywację żadnej ze Starożytnych Wież.	Na dificuldade Heroica, derrote o Grande Artífice sem ativar nenhum Simulador Climático e sem deixar que nenhuma Torre Ancestral seja ativada.	На уровне сложности «Героический» одолейте великого ремесленника, не запуская симуляторы погоды и не дав активироваться древним башням.	在英雄难度与大工匠的战斗中，不启动任何天气模拟装置，并且不让任何远古炮塔启动的情况下击败他。	在英雄難度與大工匠的戰鬥中，不啟動任何天氣模擬裝置，並且不讓任何遠古砲塔啟動的情況下擊敗他。
Achievements/CHAR_UNLOCK_KNIGHT	Achievements	Belloc the Pyroguard	Belloc, der Feuerwächter	Belloc el Pirotector	Belloc le pyrogarde	Belloc, il Custode del fuoco	炎の守護者ベロック	불길수호자 벨록	Belloc, Strażnik Ognia	O Piroguarda Belloc	Страж пламени Беллок	火铸骑士	火鑄騎士
Achievements/CHAR_UNLOCK_KNIGHT_DESC	Achievements	Unlock Belloc the Pyroguard.	Schalte Belloc, den Feuerwächter, frei.	Desbloquea a Belloc el Pirotector.	Débloquez Belloc le pyrogarde.	Sblocca Belloc, il Custode del fuoco.	炎の守護者ベロックを解放する。	불길수호자 벨록을 잠금 해제하세요.	Odblokuj Belloca, Strażnika Ognia.	Desbloqueie o Piroguarda Belloc	Открывает стража пламени Беллока.	解锁「贝洛克 - 火铸骑士」	解鎖「貝洛克 - 火鑄騎士」
Achievements/CHAR_UNLOCK_MERCHANT	Achievements	Silas the Merchant	Silas, der Händler	Silas el Mercader	Silas le marchand	Silas il Mercante	商人サイラス	상인 실라스	Silas, Kupiec	O Comerciante Silas	Торговец Сайлас	旅行商人	旅行商人
Achievements/CHAR_UNLOCK_MERCHANT_DESC	Achievements	Unlock Silas the Merchant.	Schalte Silas, den Händler, frei.	Desbloquea a Silas el Mercader.	Débloquez Silas le marchand.	Sblocca Silas il Mercante.	商人サイラスを解放する。	상인 실라스를 잠금 해제하세요.	Odblokuj Silasa, Kupca.	Desbloqueie o Comerciante Silas	Открывает торговца Сайласа.	解锁「希拉斯 - 旅行商人」	解鎖「希拉斯 - 旅行商人」
Achievements/CHAR_UNLOCK_SORCERER	Achievements	Tana the Sorcerer	Tana, die Zauberin	Tana la Hechicera	Tana la sorcière	Tana la Stregona	魔術師ターナ	마법사 타나	Tana, Czarodziejka	A Feiticeira Tana	Чародейка Тана	见习法师	見習法師
Achievements/CHAR_UNLOCK_SORCERER_DESC	Achievements	Unlock Tana the Sorcerer.	Schalte Tana, die Zauberin, frei.	Desbloquea a Tana la Hechicera.	Débloquez Tana la sorcière.	Sblocca Tana la Stregona.	魔術師ターナを解放する。	마법사 타나를 잠금 해제하세요.	Odblokuj Tanę, Czarodziejkę.	Desbloqueie a Feiticeira Tana	Открывает чародейку Тану.	解锁「塔娜 - 见习法师」	解鎖「塔娜 - 見習法師」
Achievements/CHAR_UNLOCK_CHUNK	Achievements	Chunk the Builder	Chunk, der Baumeister	Chunk el Constructor	Chunk le bâtisseur	Chunk il Costruttore	建築家チャンク	건축가 청크	Chunk, Budowniczy	O Construtor Parrudo	Строитель Чанк	巨型建筑师	巨型建築師
Achievements/CHAR_UNLOCK_CHUNK_DESC	Achievements	Unlock Chunk the Builder.	Schalte Chunk, den Baumeister, frei.	Desbloquea a Chunk el Constructor.	Débloquez Chunk le bâtisseur.	Sblocca Chunk il Costruttore.	建築家チャンクを解放する。	건축가 청크를 잠금 해제하세요.	Odblokuj Chunka, Budowniczego.	Desbloqueie o Construtor Parrudo	Открывает строителя Чанка.	解锁「大块 - 巨型建筑师」	解鎖「大塊 - 巨型建築師」
Achievements/CHAR_UNLOCK_TINY	Achievements	Tiny the Bot	Tiny, der Roboter	Mini Hojalato	Tiny le robot	Tiny il Robot	ロボットティニー	로봇 타이니	Tiny, Bot	O Robô Tico	Кроха-бот	建造机器人	建造機器人
Achievements/CHAR_UNLOCK_TINY_DESC	Achievements	Unlock Tiny the Bot.	Schalte Tiny, den Roboter, frei.	Desbloquea a Mini Hojalato.	Débloquez Tiny le robot.	Sblocca Tiny il Robot.	ロボットティニーを解放する。	로봇 타이니를 잠금 해제하세요.	Odblokuj Tiny'ego, Bota.	Desbloqueie o Robô Tico	Открывает Кроху-бота.	解锁「小小 - 建造机器人」	解鎖「小小 - 建造機器人」
Achievements/CHAR_UNLOCK_CHRONO	Achievements	Chrono Traveler	Zeitreisender	Cronoviajero	Chronovoyageur	Crononauta	旅人クロノ	시간 여행자	Podróżnik w Czasie	Viajante do Tempo	Хронопутник	时旅者	時旅者
Achievements/CHAR_UNLOCK_CHRONO_DESC	Achievements	Unlock the Chrono Traveler.	Schalte den Zeitreisenden frei.	Desbloquea a Cronoviajero.	Débloquez le Chronovoyageur.	Sblocca il Crononauta.	旅人クロノを解放する。	시간 여행자를 잠금 해제하세요.	Odblokuj Podróżnika w Czasie.	Desbloqueie o Viajante do Tempo	Открывает Хронопутника.	解锁「时旅者」	解鎖「時旅者」
Achievements/CHAR_UNLOCK_SCHOLAR	Achievements	Astromancer	Astral-Gelehrte	Astromántica	Astromancienne	Astromante	占星術師エステル	천문학자	Astromantka	Astromante	Астромант	学院星术师	學院星術師
Achievements/CHAR_UNLOCK_SCHOLAR_DESC	Achievements	Unlock Estelle the Astromancer.	Schalte Estelle, die Astral-Gelehrte, frei.	Desbloquea a Estelle la Astromántica.	Débloquez Estelle l'astromancienne.	Sblocca Estelle l’Astromante.	占星術師エステルを解放する。	천문학자 에스텔을 잠금 해제하세요.	Odblokuj Estelle, Astromantkę.	Desbloqueie a Astromante Estelle	Открывает астроманта Эстель.	解锁「艾丝特 - 学院星术师」	解鎖「艾絲特 - 學院星術師」
Achievements/WORLD_1_NO_TALENT_HEROIC_CLEAR	Achievements	No Need For This	Brauch ich nicht	No me hace falta	Pas besoin de ces broutilles	Non ce n’è bisogno	身一つ	이럴 필요는 없잖아	A komu to potrzebne	Não Há Necessidade Disso	В этом нет нужды	天赋？能吃吗？	天賦？能吃嗎？
Achievements/WORLD_1_NO_TALENT_HEROIC_CLEAR_DESC	Achievements	Clear the Misty Forest on Heroic difficulty without using any talents.	Schließe den Nebelwald auf Schwierigkeitsgrad Heroisch ab, ohne Talente einzusetzen.	Supera el Bosque Neblinoso en dificultad Heroica sin usar ningún talento.	Terminez la Forêt des brumes en difficulté Héroïque sans utiliser de talents.	Completa la Foresta nebbiosa in modalità Eroica senza usare talenti.	難易度ヒロイックで、能力を一つも使用することなく「霧のフォレスト」をクリアする。	영웅 난이도에서 아무런 재능 없이 안개숲을 클리어하세요.	Ukończ Mglisty Las na poziomie trudności Heroicznym bez użycia żadnych talentów.	Conclua a Floresta Nebulosa na dificuldade Heroica sem usar nenhum talento. 	Пройдите Туманный лес на уровне сложности «Героический», не используя таланты.	在不使用任何天赋的情况下，通过英雄难度的迷雾森林	在不使用任何天賦的情況下，通過英雄難度的迷霧森林
Achievements/WORLD_2_NO_TALENT_HEROIC_CLEAR	Achievements	Save It For The Sequel	Heb ich mir für die Fortsetzung auf	Me los guardo para la secuela	On garde ça pour la suite	Conservalo per il futuro	まだその時ではない…	속편을 위해 아껴둬	Zostaw to na sequel	Guardando Para A Próxima	Припасено для сиквела	技术差距	存到二代再用
Achievements/WORLD_2_NO_TALENT_HEROIC_CLEAR_DESC	Achievements	Clear the Bone Desert on Heroic difficulty without using any talents.	Schließe die Knochenwüste auf Schwierigkeitsgrad Heroisch ab, ohne Talente einzusetzen.	Supera el Desierto Osario en dificultad Heroica sin usar ningún talento.	Terminez le Désert des os en difficulté Héroïque sans utiliser de talents.	Completa il Deserto delle ossa in modalità Eroica senza usare talenti.	難易度ヒロイックで、能力を一つも使用することなく「骨のデザート」をクリアする。	영웅 난이도에서 아무런 재능 없이 안개숲을 클리어하세요.	Ukończ Pustynię Kości na poziomie trudności Heroicznym bez użycia żadnych talentów.	Conclua o Deserto dos Ossos na dificuldade Heroica sem usar nenhum talento. 	Пройдите Костяную пустыню на уровне сложности «Героический», не используя таланты.	在不使用任何天赋的情况下，通过英雄难度的白骨沙漠	在不使用任何天賦的情況下，通過英雄難度的白骨沙漠
Achievements/WORLD_3_NO_TALENT_HEROIC_CLEAR	Achievements	Skill Issue	Skill Issue	Cuestión de habilidad	Question de capacités	Questione di abilità	また何かやっちゃいました？	실력 문제	Kwestia skilla	Habilidade Insuficiente	Дело в кривых руках	技术差距	技術差距
